A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,result
4,12,2,0,1386,3,3,2,2,1,2,2,0,3,2,1,3,1,1,1,1
3,24,2,0,947,1,4,4,3,1,3,4,0,1,3,1,3,2,1,1,1
1,12,2,6,684,1,3,4,3,1,4,3,0,3,1,1,2,2,1,1,1
1,48,2,6,7476,1,4,4,3,1,1,4,1,3,3,1,4,1,2,1,0
2,12,2,2,1922,1,3,4,3,1,2,2,0,3,2,1,2,1,1,1,1
1,24,2,0,2303,1,5,4,3,2,1,1,1,3,2,1,3,1,1,1,1
2,36,3,0,8086,2,5,2,3,1,4,3,1,3,2,4,4,1,2,1,1
4,24,4,1,2346,1,4,4,3,1,3,3,0,3,2,2,3,1,2,1,0
1,14,2,0,3973,1,1,1,3,1,4,4,0,3,3,1,3,1,1,1,0
2,12,2,0,888,1,5,4,3,1,4,3,1,1,2,1,2,2,1,1,1
4,48,2,3,10222,5,4,4,3,1,3,3,0,2,2,1,3,1,2,1,0
2,30,0,9,4221,1,3,2,2,1,1,3,0,3,2,2,3,1,1,1,0
2,18,4,2,6361,1,5,2,3,1,1,4,1,3,2,1,3,1,2,1,0
3,12,2,3,1297,1,3,3,4,1,4,1,0,3,1,1,3,1,1,1,0
1,12,2,0,900,5,3,4,4,1,2,3,0,3,2,1,3,1,1,1,1
4,21,2,2,2241,1,5,4,3,1,2,1,1,3,2,2,3,1,1,1,0
2,6,3,2,1050,1,1,4,3,1,1,2,0,2,2,2,4,1,2,1,0
3,6,4,6,1047,1,3,2,2,1,4,2,1,3,2,1,2,1,1,1,0
4,24,4,10,6314,1,1,4,3,2,2,4,0,1,2,2,4,1,2,1,0
2,30,1,2,3496,4,3,4,3,1,2,3,0,2,2,1,3,2,2,1,0
4,48,1,9,3609,1,3,1,2,1,1,1,0,2,2,1,3,1,1,1,0
1,12,4,0,4843,1,5,3,3,2,4,2,1,3,1,2,3,1,2,1,1
3,30,4,3,3017,1,5,4,3,1,4,2,1,3,2,1,3,1,1,1,0
4,24,4,9,4139,2,3,3,3,1,3,2,0,3,2,2,2,1,2,1,0
4,36,2,9,5742,2,4,2,3,1,2,3,0,3,2,2,3,1,2,1,0
4,60,2,0,10366,1,5,2,3,1,4,2,1,3,2,1,4,1,2,1,0
4,6,4,0,2080,3,3,1,4,1,2,3,0,3,2,1,3,1,1,1,0
4,21,3,9,2580,3,2,4,3,1,2,1,1,1,2,1,2,2,1,1,1
4,30,4,3,4530,1,4,4,2,1,4,3,0,3,1,1,4,1,2,1,0
4,24,4,2,5150,1,5,4,3,1,4,3,0,3,2,1,3,1,2,1,0
2,72,2,3,5595,2,3,2,4,1,2,3,0,3,2,1,3,1,1,1,1
1,24,2,3,2384,1,5,4,3,1,4,1,1,1,1,1,2,1,1,1,0
4,18,2,3,1453,1,2,3,2,1,1,1,0,3,2,1,3,1,1,1,0
4,6,2,6,1538,1,2,1,2,1,2,4,1,3,2,1,3,1,1,1,0
4,12,2,3,2279,5,3,4,3,1,4,4,0,3,3,1,3,1,2,1,0
4,15,3,3,1478,1,3,4,4,1,3,1,0,1,2,2,3,1,1,1,0
4,24,4,3,5103,1,2,3,4,1,3,4,1,3,3,3,3,1,2,1,0
2,36,3,9,9857,2,4,1,3,1,3,2,0,3,2,2,2,2,2,1,0
4,60,2,0,6527,5,3,4,3,1,4,4,0,3,3,1,3,2,2,1,0
3,10,4,3,1347,5,4,4,3,1,2,2,0,3,2,2,3,1,2,1,0
2,36,3,0,2862,2,5,4,3,1,3,4,0,3,3,1,3,1,1,1,0
4,9,2,3,2753,2,5,3,3,2,4,3,0,3,2,1,3,1,2,1,0
1,12,2,0,3651,4,3,1,3,1,3,2,0,3,2,1,3,2,1,1,0
1,15,4,2,975,1,3,2,1,1,3,2,0,3,2,2,3,1,1,1,0
2,15,2,5,2631,2,3,3,2,1,2,1,0,3,2,1,2,1,1,1,0
2,24,2,3,2896,2,2,2,3,1,1,3,0,3,2,1,3,1,1,1,0
1,6,4,0,4716,5,2,1,3,1,3,1,1,3,2,2,2,2,1,1,0
4,24,2,3,2284,1,4,4,3,1,2,3,0,3,2,1,3,1,2,1,0
4,6,2,1,1236,3,3,2,3,1,4,2,1,3,1,1,3,1,1,1,0
2,12,2,3,1103,1,4,4,3,3,3,1,0,3,2,2,3,1,1,2,0
4,12,4,0,926,1,1,1,2,1,2,2,0,3,2,1,1,1,1,1,0
4,18,4,3,1800,1,3,4,3,1,2,3,0,3,2,2,3,1,1,1,0
3,15,2,6,1905,1,5,4,3,1,4,3,0,3,1,1,4,1,2,1,0
