c_charge_degree,race,age_cat,sex,priors_count,days_b_screening_arrest,decile_score,result
M,Hispanic,25-45,Male,0,-1.0,5,1
M,Caucasian,Greaterthan45,Female,1,-1.0,3,0
M,Caucasian,25-45,Male,0,-1.0,1,0
M,Caucasian,25-45,Female,1,-6.0,5,0
F,Caucasian,Lessthan25,Male,0,-1.0,2,1
M,African-American,25-45,Male,0,0.0,1,0
M,Caucasian,25-45,Male,2,-1.0,1,0
F,African-American,Lessthan25,Male,0,-1.0,3,1
F,African-American,25-45,Male,0,0.0,2,0
F,Caucasian,Greaterthan45,Male,4,0.0,1,0
F,Hispanic,Greaterthan45,Male,1,-1.0,5,0
F,African-American,Lessthan25,Male,1,-24.0,3,0
M,African-American,Lessthan25,Male,0,-6.0,6,0
F,Other,25-45,Male,1,-1.0,2,1
M,Caucasian,25-45,Male,1,-1.0,1,1
F,Hispanic,Greaterthan45,Male,1,-18.0,1,0
M,Hispanic,25-45,Male,1,-1.0,2,1
M,Caucasian,25-45,Male,0,-1.0,1,0
F,Caucasian,25-45,Male,2,-1.0,8,1
F,African-American,25-45,Female,5,-1.0,9,1
F,Hispanic,Lessthan25,Male,0,-1.0,5,0
F,African-American,25-45,Female,1,-1.0,2,0
F,Other,25-45,Male,0,-1.0,2,0
F,African-American,25-45,Male,2,-1.0,5,0
M,Caucasian,Greaterthan45,Male,0,-1.0,2,0
F,African-American,25-45,Male,1,-1.0,1,0
F,Asian,25-45,Male,2,0.0,1,0
F,Caucasian,Lessthan25,Male,6,-1.0,5,1
M,Asian,Greaterthan45,Male,0,-1.0,1,0
F,African-American,25-45,Male,0,-1.0,1,0
M,Caucasian,Greaterthan45,Male,4,-1.0,2,0
F,African-American,Greaterthan45,Male,7,-1.0,1,1
F,Caucasian,25-45,Male,0,-3.0,7,1
M,Caucasian,25-45,Male,7,-1.0,10,1
F,Caucasian,Greaterthan45,Male,7,-1.0,1,1
M,African-American,25-45,Male,0,0.0,1,0
M,Caucasian,Greaterthan45,Male,12,-24.0,5,0
F,African-American,Lessthan25,Male,0,-1.0,8,1
M,African-American,25-45,Male,4,-1.0,4,1
M,African-American,25-45,Male,0,-1.0,3,0
M,Caucasian,25-45,Male,0,-1.0,2,0
M,Hispanic,25-45,Male,11,0.0,7,0
M,Other,Greaterthan45,Male,0,-1.0,1,0
F,Caucasian,Greaterthan45,Female,5,0.0,5,0
F,African-American,25-45,Male,4,-1.0,2,1
F,African-American,25-45,Male,0,-1.0,7,1
F,African-American,25-45,Male,2,-1.0,3,0
F,Caucasian,25-45,Male,2,-1.0,2,0
F,African-American,25-45,Male,0,-1.0,4,1
M,African-American,25-45,Male,0,-1.0,2,0
F,Other,25-45,Male,4,0.0,3,0
F,Hispanic,25-45,Male,3,-21.0,4,0
F,African-American,Greaterthan45,Female,4,-1.0,1,0
M,Other,25-45,Male,0,-1.0,2,0
M,Caucasian,Lessthan25,Female,1,-22.0,3,0
F,African-American,Lessthan25,Male,2,-1.0,10,1
F,Caucasian,25-45,Male,0,0.0,7,1
F,Caucasian,25-45,Male,2,-10.0,1,0
M,African-American,Lessthan25,Male,0,-1.0,7,0
F,Caucasian,25-45,Male,0,-1.0,2,0
F,African-American,Lessthan25,Male,6,-1.0,9,0
F,African-American,25-45,Male,6,-1.0,4,0
F,African-American,25-45,Male,15,-1.0,9,1
F,African-American,Lessthan25,Male,0,-1.0,7,1
F,Hispanic,25-45,Male,0,-1.0,1,0
F,African-American,25-45,Male,1,-1.0,2,1
F,African-American,Greaterthan45,Male,1,-1.0,4,0
F,Hispanic,Lessthan25,Male,1,-8.0,9,0
F,African-American,Greaterthan45,Male,8,-1.0,6,1
M,Caucasian,25-45,Male,2,-1.0,2,0
F,Caucasian,25-45,Male,6,-25.0,4,0
F,African-American,Lessthan25,Male,0,-1.0,3,0
M,African-American,25-45,Male,2,0.0,8,0
M,African-American,25-45,Male,11,-1.0,9,1
M,Other,Greaterthan45,Male,0,-1.0,1,0
M,Caucasian,Lessthan25,Female,0,-1.0,6,0
F,African-American,25-45,Male,7,-1.0,10,1
M,African-American,25-45,Male,1,-1.0,7,0
F,Caucasian,25-45,Male,4,0.0,5,1
M,African-American,25-45,Male,3,-1.0,2,0
F,African-American,Lessthan25,Male,2,-21.0,8,1
M,African-American,Lessthan25,Male,1,-1.0,6,1
F,African-American,25-45,Male,0,0.0,1,0
M,African-American,Lessthan25,Female,0,-1.0,4,0
M,Caucasian,25-45,Female,0,-2.0,2,0
M,African-American,25-45,Male,1,0.0,4,0
F,Caucasian,Greaterthan45,Male,0,0.0,1,0
F,Caucasian,Greaterthan45,Male,17,-25.0,6,1
M,Caucasian,Greaterthan45,Female,0,-1.0,1,0
F,African-American,25-45,Female,1,-10.0,2,0
M,Caucasian,25-45,Male,0,0.0,1,0
F,Caucasian,25-45,Male,10,-18.0,2,1
F,African-American,25-45,Male,2,-1.0,4,1
F,Hispanic,Greaterthan45,Male,1,-18.0,1,0
F,African-American,Lessthan25,Male,0,0.0,7,1
F,Hispanic,Lessthan25,Male,0,0.0,7,0
F,Caucasian,25-45,Male,0,0.0,5,0
F,African-American,Lessthan25,Male,3,0.0,9,0
M,African-American,25-45,Male,0,-1.0,2,0
F,African-American,Lessthan25,Male,2,-1.0,9,1
M,Caucasian,25-45,Male,0,-1.0,1,0
F,African-American,25-45,Male,2,-1.0,5,0
F,African-American,25-45,Female,4,0.0,4,0
M,Caucasian,25-45,Male,1,-1.0,6,1
M,Caucasian,25-45,Male,7,-1.0,3,0
F,African-American,25-45,Male,3,-21.0,3,1
F,African-American,Lessthan25,Male,0,-1.0,4,0
M,Caucasian,Greaterthan45,Male,2,-1.0,1,1
F,African-American,25-45,Male,0,0.0,8,0
F,Other,Greaterthan45,Male,4,-1.0,1,1
F,Other,Lessthan25,Male,5,-1.0,4,1
M,African-American,Lessthan25,Male,1,-1.0,9,0
F,African-American,25-45,Male,19,-1.0,10,1
F,Caucasian,Greaterthan45,Female,1,-21.0,1,0
F,Caucasian,25-45,Male,0,-4.0,2,1
F,Caucasian,25-45,Female,0,-1.0,4,1
F,African-American,25-45,Male,0,-1.0,2,0
F,African-American,25-45,Female,14,-1.0,10,1
F,African-American,25-45,Male,0,-4.0,1,1
F,African-American,25-45,Male,3,-1.0,8,1
M,Caucasian,25-45,Male,2,0.0,4,1
F,African-American,25-45,Female,2,-1.0,2,0
F,African-American,Lessthan25,Male,3,-1.0,8,1
F,Other,Lessthan25,Male,0,-1.0,6,0
F,Caucasian,Greaterthan45,Male,1,0.0,5,1
M,African-American,Lessthan25,Female,1,-11.0,3,1
M,Caucasian,Greaterthan45,Male,2,-1.0,1,0
M,Caucasian,25-45,Male,0,-1.0,3,0
M,African-American,25-45,Female,0,0.0,4,0
F,Caucasian,25-45,Male,0,-1.0,2,0
M,African-American,Greaterthan45,Male,0,0.0,1,1
F,African-American,25-45,Female,8,-1.0,8,1
M,Hispanic,25-45,Male,0,-7.0,3,0
F,Caucasian,25-45,Male,1,-1.0,4,0
F,African-American,Lessthan25,Male,1,-1.0,8,0
F,African-American,Lessthan25,Male,1,13.0,7,0
M,Caucasian,25-45,Male,1,-1.0,3,1
F,African-American,25-45,Male,3,0.0,4,1
M,African-American,Greaterthan45,Male,9,0.0,1,0
F,Other,25-45,Male,1,-1.0,2,1
F,African-American,25-45,Male,20,0.0,9,1
F,African-American,25-45,Female,1,-1.0,6,1
M,African-American,25-45,Male,0,0.0,1,0
M,Caucasian,Lessthan25,Male,5,0.0,5,1
F,Caucasian,25-45,Male,1,-1.0,2,1
M,African-American,Lessthan25,Male,0,-1.0,3,1
F,Caucasian,25-45,Female,6,-1.0,3,1
M,African-American,25-45,Female,2,-1.0,3,0
F,African-American,25-45,Male,8,0.0,6,1
M,African-American,Greaterthan45,Male,4,0.0,2,0
F,Caucasian,Greaterthan45,Male,1,-1.0,1,0
F,Caucasian,Greaterthan45,Female,2,-1.0,1,0
M,African-American,Lessthan25,Female,0,-1.0,6,0
M,African-American,25-45,Male,2,-1.0,7,0
F,African-American,Greaterthan45,Male,9,0.0,6,1
F,African-American,25-45,Male,2,0.0,7,1
F,Hispanic,25-45,Male,3,-1.0,3,1
F,African-American,Lessthan25,Male,5,-1.0,7,1
F,African-American,Lessthan25,Male,3,20.0,5,1
F,African-American,25-45,Male,2,-1.0,2,0
F,Caucasian,25-45,Male,3,-1.0,4,0
M,African-American,25-45,Female,1,-1.0,2,0
M,African-American,Greaterthan45,Male,15,0.0,4,1
M,Caucasian,Greaterthan45,Male,3,0.0,2,1
M,African-American,Greaterthan45,Male,3,0.0,1,0
F,Other,Greaterthan45,Male,2,-1.0,1,0
F,Caucasian,Lessthan25,Female,1,-1.0,6,0
M,Caucasian,25-45,Male,2,-1.0,6,1
F,African-American,Lessthan25,Male,3,-1.0,4,1
M,African-American,Lessthan25,Male,12,0.0,9,1
F,Caucasian,Lessthan25,Male,3,-1.0,8,1
F,Hispanic,Greaterthan45,Male,3,-2.0,1,0
F,Caucasian,25-45,Male,6,-1.0,7,0
F,African-American,25-45,Male,4,-1.0,1,1
F,African-American,Lessthan25,Male,4,-1.0,7,0
M,Caucasian,25-45,Female,7,-18.0,7,0
F,African-American,25-45,Male,5,-1.0,9,1
F,Caucasian,Greaterthan45,Female,1,-1.0,8,0
F,African-American,Lessthan25,Male,1,-8.0,8,0
F,African-American,25-45,Male,6,-1.0,10,1
F,African-American,Lessthan25,Female,1,-1.0,9,0
F,African-American,25-45,Male,15,-1.0,10,1
M,Other,25-45,Male,1,-13.0,1,0
F,Caucasian,Greaterthan45,Male,0,-1.0,3,0
F,Caucasian,Lessthan25,Female,0,-1.0,6,1
F,African-American,25-45,Male,5,17.0,3,0
F,African-American,Greaterthan45,Female,1,-1.0,1,0
M,African-American,Lessthan25,Male,0,0.0,3,1
F,NativeAmerican,25-45,Male,2,-1.0,3,0
F,Caucasian,25-45,Female,5,-3.0,7,0
M,Caucasian,Greaterthan45,Male,14,-1.0,4,1
M,Other,25-45,Male,6,-1.0,1,0
M,Caucasian,25-45,Male,5,-1.0,9,1
M,Caucasian,Greaterthan45,Male,0,0.0,1,1
M,African-American,25-45,Male,2,-1.0,7,0
M,Hispanic,25-45,Male,0,-1.0,1,1
M,African-American,25-45,Male,8,-1.0,10,1
M,Caucasian,25-45,Male,0,-1.0,1,0
F,African-American,25-45,Male,7,-1.0,3,0
M,Hispanic,25-45,Male,2,-1.0,4,0
M,African-American,25-45,Male,12,-1.0,9,1
M,Caucasian,Lessthan25,Female,3,-1.0,10,1
F,African-American,25-45,Male,1,-1.0,2,1
M,Caucasian,Greaterthan45,Male,1,-23.0,1,0
F,Caucasian,25-45,Male,0,-1.0,1,0
F,Caucasian,25-45,Male,0,-1.0,2,0
F,Caucasian,Lessthan25,Male,0,-1.0,3,0
F,Caucasian,Lessthan25,Male,5,-10.0,8,1
F,Caucasian,25-45,Male,4,0.0,7,1
F,Caucasian,Greaterthan45,Male,13,-1.0,6,1
M,Caucasian,25-45,Female,0,-1.0,1,0
M,Caucasian,Greaterthan45,Male,1,-1.0,1,0
M,Caucasian,Greaterthan45,Male,11,-1.0,7,0
F,Hispanic,Lessthan25,Female,0,-2.0,6,1
F,African-American,25-45,Male,3,-1.0,2,0
F,Other,25-45,Male,2,-1.0,2,1
M,Caucasian,Greaterthan45,Male,0,-1.0,1,0
F,African-American,25-45,Male,6,-1.0,5,1
F,Caucasian,Lessthan25,Male,0,-1.0,5,1
F,African-American,Lessthan25,Female,0,-1.0,4,1
M,African-American,25-45,Male,7,-1.0,6,1
F,African-American,25-45,Male,15,-6.0,7,0
M,Hispanic,Lessthan25,Male,0,0.0,3,1
F,African-American,25-45,Male,12,-1.0,8,0
F,African-American,Greaterthan45,Male,14,-1.0,9,1
M,Asian,Lessthan25,Male,0,0.0,2,0
F,African-American,25-45,Male,14,-1.0,10,1
F,Caucasian,Greaterthan45,Male,0,0.0,1,0
F,Hispanic,25-45,Male,1,30.0,4,1
F,African-American,25-45,Male,4,0.0,6,1
F,African-American,Lessthan25,Male,2,-1.0,9,1
M,Hispanic,Greaterthan45,Male,0,-2.0,1,0
F,African-American,25-45,Female,11,-1.0,8,0
F,Caucasian,Greaterthan45,Male,3,-5.0,1,0
M,African-American,Lessthan25,Female,2,-1.0,7,1
F,African-American,Greaterthan45,Male,3,6.0,9,0
M,African-American,25-45,Male,7,0.0,10,1
M,African-American,Greaterthan45,Male,0,-1.0,1,0
M,Caucasian,Greaterthan45,Male,0,-1.0,1,0
F,African-American,Lessthan25,Male,0,-1.0,3,1
M,African-American,Lessthan25,Male,0,-1.0,3,1
F,Caucasian,Greaterthan45,Male,6,0.0,1,1
M,Caucasian,Greaterthan45,Female,2,-1.0,2,1
F,Caucasian,25-45,Male,5,-1.0,1,0
F,Caucasian,Greaterthan45,Male,1,-16.0,3,0
M,Hispanic,25-45,Male,0,-1.0,1,0
M,African-American,25-45,Female,0,-1.0,3,0
M,Caucasian,25-45,Male,2,-1.0,2,0
F,African-American,Greaterthan45,Male,0,0.0,7,0
M,African-American,Lessthan25,Male,0,-1.0,4,0
F,African-American,25-45,Male,14,0.0,9,1
F,Hispanic,Greaterthan45,Male,1,2.0,1,1
F,African-American,Greaterthan45,Male,24,0.0,6,1
F,Other,25-45,Male,0,-1.0,1,0
F,African-American,Lessthan25,Female,2,-1.0,10,1
M,African-American,25-45,Male,0,0.0,4,1
F,Caucasian,Lessthan25,Male,0,0.0,8,1
F,Other,25-45,Male,0,-1.0,7,0
M,African-American,25-45,Male,3,-4.0,1,0
F,African-American,25-45,Male,15,-1.0,8,1
F,African-American,25-45,Male,10,0.0,4,1
F,African-American,Lessthan25,Male,0,-1.0,3,0
F,Caucasian,25-45,Male,2,-1.0,5,1
M,Caucasian,Greaterthan45,Female,0,-1.0,4,0
F,Caucasian,Greaterthan45,Female,1,-20.0,1,0
M,Hispanic,25-45,Male,2,0.0,5,1
F,African-American,25-45,Male,11,-1.0,8,0
M,African-American,25-45,Male,2,-1.0,1,0
F,African-American,Greaterthan45,Male,15,-1.0,7,1
F,African-American,Lessthan25,Female,0,-1.0,3,0
F,African-American,Greaterthan45,Female,1,-1.0,1,0
F,Hispanic,Lessthan25,Male,0,0.0,6,1
M,Caucasian,Greaterthan45,Female,1,-11.0,1,0
M,Hispanic,25-45,Female,2,-1.0,4,0
F,African-American,25-45,Female,6,0.0,5,0
F,Caucasian,25-45,Male,6,-16.0,4,0
M,Hispanic,Greaterthan45,Male,1,0.0,1,0
F,Caucasian,Greaterthan45,Male,0,-1.0,1,0
M,Caucasian,25-45,Male,0,0.0,2,1
F,African-American,25-45,Male,1,-1.0,2,0
F,Caucasian,25-45,Male,11,16.0,7,1
F,African-American,25-45,Male,9,0.0,10,1
F,Caucasian,25-45,Male,1,-22.0,3,0
F,African-American,Greaterthan45,Male,8,0.0,1,1
F,Caucasian,Lessthan25,Female,0,0.0,4,0
F,African-American,25-45,Male,0,-1.0,1,0
M,Asian,Greaterthan45,Male,0,-1.0,1,0
F,Other,25-45,Male,0,-1.0,2,0
F,African-American,Lessthan25,Male,8,-1.0,9,1
F,Other,25-45,Male,3,-1.0,6,0
M,African-American,Greaterthan45,Male,2,-1.0,6,0
F,African-American,25-45,Male,5,-1.0,5,1
F,Caucasian,Lessthan25,Male,0,-1.0,3,1
F,African-American,Lessthan25,Male,0,-1.0,8,1
M,Caucasian,Greaterthan45,Male,0,-1.0,1,0
M,Caucasian,Greaterthan45,Female,5,-1.0,7,1
F,Other,25-45,Male,1,-15.0,1,0
F,Caucasian,25-45,Male,9,-2.0,6,0
M,Other,25-45,Male,0,-1.0,1,0
F,African-American,25-45,Male,0,-1.0,5,0
F,Caucasian,Greaterthan45,Male,3,0.0,4,1
F,African-American,Greaterthan45,Male,12,-1.0,9,0
F,African-American,25-45,Male,2,0.0,7,0
F,African-American,25-45,Male,6,-1.0,6,0
F,African-American,Greaterthan45,Male,8,-1.0,7,1
F,Other,Greaterthan45,Male,1,-1.0,1,0
F,African-American,25-45,Male,13,0.0,8,1
F,Caucasian,25-45,Male,9,-1.0,6,1
F,African-American,25-45,Male,0,-1.0,3,0
M,African-American,25-45,Male,8,-1.0,7,1
F,African-American,25-45,Male,1,-1.0,1,0
M,African-American,25-45,Male,0,0.0,1,0
M,Caucasian,Greaterthan45,Male,0,-2.0,1,0
F,African-American,25-45,Female,2,-1.0,2,0
M,Caucasian,25-45,Female,7,-6.0,6,0
F,African-American,25-45,Male,1,-1.0,5,1
M,Caucasian,Greaterthan45,Female,0,0.0,1,1
F,Hispanic,Lessthan25,Male,0,-1.0,6,0
F,African-American,25-45,Male,8,-1.0,5,1
F,Caucasian,25-45,Female,6,-1.0,6,1
F,African-American,Lessthan25,Female,2,-1.0,7,1
F,Caucasian,Lessthan25,Male,0,0.0,5,0
F,Other,Greaterthan45,Male,2,-1.0,1,0
M,Caucasian,Greaterthan45,Male,2,-1.0,2,0
F,Caucasian,Greaterthan45,Male,3,-1.0,7,1
F,African-American,Lessthan25,Male,0,-1.0,2,0
F,Hispanic,Greaterthan45,Male,0,-1.0,1,0
F,African-American,25-45,Female,7,-1.0,5,1
M,Caucasian,Lessthan25,Male,0,-1.0,2,1
M,African-American,25-45,Male,5,-1.0,6,0
F,African-American,Lessthan25,Male,1,-1.0,5,1
M,Hispanic,25-45,Male,2,-1.0,3,0
F,African-American,25-45,Male,21,-1.0,7,1
F,African-American,Lessthan25,Male,13,-1.0,10,1
F,African-American,25-45,Male,23,-1.0,9,1
F,African-American,25-45,Male,11,-1.0,10,0
F,African-American,Lessthan25,Male,1,-1.0,3,0
F,African-American,25-45,Male,24,-1.0,7,1
F,African-American,Lessthan25,Female,1,-1.0,5,0
F,African-American,Greaterthan45,Male,19,-1.0,3,0
M,Other,Lessthan25,Male,0,-1.0,6,0
F,Caucasian,25-45,Male,0,0.0,2,0
M,Caucasian,Greaterthan45,Male,0,0.0,1,0
M,African-American,25-45,Male,0,-1.0,2,1
F,African-American,Lessthan25,Male,0,-1.0,6,1
M,African-American,25-45,Male,6,-1.0,7,0
M,Caucasian,Lessthan25,Male,0,-1.0,6,1
F,Caucasian,Greaterthan45,Male,1,-1.0,1,1
M,African-American,Greaterthan45,Male,27,-9.0,10,0
M,African-American,25-45,Female,0,0.0,2,0
M,Caucasian,Greaterthan45,Male,1,-1.0,1,0
F,Caucasian,Lessthan25,Male,0,0.0,3,0
F,Caucasian,Greaterthan45,Male,1,0.0,2,0
F,African-American,25-45,Male,24,-1.0,8,0
F,Caucasian,25-45,Male,13,0.0,9,1
F,African-American,Greaterthan45,Male,0,-1.0,4,0
F,African-American,25-45,Male,1,-1.0,6,1
M,African-American,Greaterthan45,Male,1,-1.0,1,0
F,Caucasian,Greaterthan45,Female,8,-10.0,2,0
F,African-American,Lessthan25,Male,0,0.0,7,0
F,Caucasian,Lessthan25,Male,0,-2.0,9,1
F,Caucasian,25-45,Female,2,-1.0,10,1
M,Hispanic,25-45,Male,7,0.0,4,0
M,Other,25-45,Male,3,-1.0,1,1
M,African-American,25-45,Male,2,-1.0,9,0
M,Caucasian,25-45,Male,1,0.0,6,0
F,African-American,Greaterthan45,Male,14,23.0,9,1
M,Caucasian,25-45,Male,0,-1.0,2,0
F,African-American,Lessthan25,Male,4,-27.0,8,1
F,African-American,25-45,Female,2,0.0,5,1
F,Caucasian,25-45,Female,4,0.0,6,1
F,Caucasian,Lessthan25,Male,2,0.0,7,0
F,Caucasian,25-45,Female,1,-1.0,6,1
F,Caucasian,Lessthan25,Male,1,-1.0,5,1
F,Other,Greaterthan45,Male,23,-1.0,4,1
M,African-American,25-45,Female,0,0.0,1,0
F,Caucasian,Greaterthan45,Male,1,-1.0,1,0
F,Caucasian,25-45,Female,4,-30.0,3,0
F,African-American,Lessthan25,Male,3,-1.0,7,0
F,Caucasian,25-45,Male,1,-21.0,1,0
F,Hispanic,25-45,Male,3,-1.0,3,0
F,Hispanic,25-45,Female,5,0.0,4,0
M,African-American,Lessthan25,Male,3,-1.0,6,1
M,Caucasian,25-45,Male,0,-5.0,3,1
F,African-American,25-45,Female,3,-27.0,5,0
F,African-American,Greaterthan45,Male,1,0.0,1,0
M,Hispanic,Greaterthan45,Female,0,0.0,1,0
F,African-American,Greaterthan45,Male,6,0.0,2,0
F,African-American,25-45,Male,7,0.0,6,1
F,African-American,25-45,Male,10,-1.0,9,0
M,Caucasian,Greaterthan45,Female,0,0.0,1,0
M,African-American,25-45,Male,0,-3.0,3,1
F,African-American,25-45,Male,9,0.0,7,0
F,African-American,Greaterthan45,Male,1,-1.0,2,0
M,African-American,25-45,Female,1,0.0,2,0
F,Caucasian,Greaterthan45,Male,0,-1.0,1,0
F,Caucasian,25-45,Male,6,-2.0,4,0
F,African-American,Greaterthan45,Male,0,-1.0,1,0
F,Hispanic,Lessthan25,Male,2,-1.0,5,0
F,African-American,25-45,Male,27,-1.0,9,1
F,African-American,25-45,Male,3,-1.0,3,0
M,African-American,25-45,Male,7,-1.0,9,1
F,Caucasian,25-45,Male,1,-1.0,7,1
F,African-American,25-45,Male,8,-1.0,2,0
F,African-American,Greaterthan45,Male,0,0.0,2,1
F,African-American,25-45,Male,8,-1.0,6,0
F,Caucasian,Greaterthan45,Male,4,0.0,1,0
F,African-American,Greaterthan45,Male,15,-1.0,9,1
F,Caucasian,25-45,Male,7,-1.0,6,1
F,Caucasian,25-45,Male,7,-1.0,8,1
M,Caucasian,Lessthan25,Male,0,-2.0,4,0
M,African-American,25-45,Male,0,0.0,2,0
M,Other,25-45,Male,0,-1.0,3,0
F,Hispanic,Lessthan25,Male,1,-12.0,9,0
F,Caucasian,25-45,Male,0,0.0,1,0
M,Caucasian,25-45,Male,1,-1.0,3,1
F,Caucasian,Greaterthan45,Male,1,-1.0,1,0
F,African-American,25-45,Female,0,0.0,1,0
M,African-American,Greaterthan45,Male,4,0.0,2,0
M,African-American,25-45,Male,3,-23.0,7,0
F,African-American,Lessthan25,Male,0,-1.0,3,0
F,Caucasian,Greaterthan45,Male,1,-1.0,1,0
F,Caucasian,25-45,Male,2,-2.0,3,0
F,African-American,25-45,Male,0,-1.0,8,1
F,Caucasian,Lessthan25,Male,0,-3.0,5,0
F,Caucasian,25-45,Female,3,0.0,4,0
F,African-American,25-45,Male,7,0.0,8,1
F,African-American,25-45,Male,5,-1.0,9,1
F,African-American,Lessthan25,Male,1,-1.0,2,0
F,Caucasian,25-45,Male,2,-27.0,4,1
F,Caucasian,Lessthan25,Male,2,-1.0,5,0
M,African-American,Lessthan25,Male,0,-1.0,3,0
M,Caucasian,25-45,Female,0,-1.0,2,0
F,African-American,25-45,Male,0,-1.0,8,0
F,African-American,25-45,Male,1,0.0,3,0
F,African-American,25-45,Male,1,-1.0,2,0
M,Caucasian,Greaterthan45,Male,0,-1.0,1,0
F,African-American,Lessthan25,Female,0,-2.0,5,0
M,Caucasian,Greaterthan45,Male,0,0.0,1,0
F,African-American,25-45,Male,3,-1.0,1,1
M,African-American,25-45,Female,2,-1.0,2,0
F,Caucasian,Greaterthan45,Female,4,-1.0,1,1
M,African-American,Greaterthan45,Male,0,0.0,1,0
F,Hispanic,25-45,Male,3,-1.0,1,1
F,African-American,25-45,Male,2,-1.0,4,0
F,Caucasian,Greaterthan45,Female,0,-1.0,1,1
F,African-American,Lessthan25,Male,0,-1.0,4,0
F,African-American,Greaterthan45,Male,3,0.0,7,0
F,African-American,25-45,Male,0,-1.0,2,1
M,African-American,25-45,Male,5,-1.0,6,0
F,Caucasian,25-45,Male,0,-1.0,1,1
M,Caucasian,25-45,Male,4,0.0,2,0
M,Hispanic,Greaterthan45,Male,1,-1.0,6,0
F,Caucasian,25-45,Male,5,-1.0,5,1
F,African-American,25-45,Female,0,-1.0,3,1
F,African-American,Lessthan25,Male,1,-1.0,4,1
M,Hispanic,25-45,Male,1,-1.0,1,0
F,Other,25-45,Male,24,-1.0,10,1
F,Hispanic,25-45,Male,12,-1.0,9,0
F,African-American,25-45,Male,4,0.0,6,1
F,Caucasian,Greaterthan45,Male,6,-1.0,2,1
M,Asian,Lessthan25,Male,0,-1.0,3,0
F,Hispanic,25-45,Male,0,-1.0,4,0
F,African-American,Greaterthan45,Male,23,-1.0,7,1
F,African-American,25-45,Male,13,0.0,10,1
F,African-American,25-45,Male,9,-1.0,8,1
M,Other,25-45,Male,0,-1.0,1,0
F,Caucasian,25-45,Male,0,0.0,7,0
M,Caucasian,Greaterthan45,Male,1,0.0,1,1
M,Caucasian,25-45,Male,0,-1.0,1,0
M,African-American,25-45,Male,7,-1.0,5,0
F,African-American,25-45,Male,5,-1.0,7,0
F,Hispanic,Greaterthan45,Female,2,-1.0,1,0
M,Caucasian,Greaterthan45,Male,0,-1.0,5,0
F,African-American,25-45,Male,5,-1.0,9,1
M,Caucasian,25-45,Female,0,-1.0,9,0
F,African-American,25-45,Male,0,-1.0,2,0
M,Caucasian,25-45,Male,6,0.0,7,0
F,African-American,25-45,Male,2,-1.0,5,0
F,African-American,Lessthan25,Male,3,-1.0,7,1
M,Caucasian,25-45,Male,2,0.0,4,0
M,African-American,25-45,Female,0,0.0,2,0
F,African-American,25-45,Male,8,0.0,8,1
M,Caucasian,Greaterthan45,Male,2,-4.0,1,1
F,Other,Lessthan25,Female,0,-1.0,4,0
M,Caucasian,25-45,Male,3,-1.0,1,0
M,African-American,Lessthan25,Male,2,-1.0,8,1
M,African-American,Greaterthan45,Female,14,-1.0,7,1
M,Caucasian,25-45,Male,9,0.0,7,1
M,Caucasian,25-45,Male,9,-1.0,6,0
M,African-American,25-45,Male,1,0.0,3,0
M,Caucasian,Greaterthan45,Male,0,-1.0,1,0
M,African-American,25-45,Male,19,-17.0,9,1
F,African-American,25-45,Male,1,0.0,4,0
F,African-American,25-45,Female,0,-1.0,5,1
F,Caucasian,Greaterthan45,Male,0,-1.0,1,0
M,Caucasian,25-45,Male,0,-1.0,4,0
M,African-American,25-45,Male,5,0.0,10,0
F,African-American,25-45,Male,11,0.0,10,0
M,Caucasian,25-45,Male,4,-1.0,4,1
M,African-American,25-45,Male,0,-1.0,2,1
M,African-American,Lessthan25,Male,0,-1.0,7,0
M,Caucasian,25-45,Male,0,0.0,1,0
M,African-American,25-45,Male,10,-7.0,4,1
F,Hispanic,Lessthan25,Male,11,-15.0,10,1
F,African-American,Lessthan25,Male,0,-1.0,3,0
M,Caucasian,25-45,Male,5,-1.0,3,1
F,Caucasian,25-45,Male,1,-1.0,9,0
F,African-American,Lessthan25,Male,0,0.0,10,1
M,Caucasian,Greaterthan45,Male,0,-1.0,1,0
F,Caucasian,25-45,Female,3,0.0,4,0
F,Hispanic,Greaterthan45,Male,9,-1.0,8,1
F,Caucasian,Lessthan25,Male,1,0.0,3,1
M,African-American,Lessthan25,Female,0,0.0,7,1
F,Hispanic,25-45,Male,1,-1.0,3,0
F,African-American,Greaterthan45,Male,4,-1.0,1,0
F,Asian,Greaterthan45,Male,1,-1.0,1,1
M,African-American,Greaterthan45,Female,3,-18.0,1,0
M,Caucasian,Lessthan25,Male,3,0.0,5,0
F,African-American,Lessthan25,Male,0,-1.0,3,1
M,Caucasian,25-45,Male,0,-1.0,1,0
F,Hispanic,Lessthan25,Male,3,-1.0,10,1
F,Caucasian,Greaterthan45,Male,10,-1.0,7,1
F,Caucasian,25-45,Male,1,-27.0,1,1
M,Caucasian,Lessthan25,Male,0,0.0,8,1
F,Other,25-45,Male,6,-1.0,5,0
F,African-American,25-45,Male,0,0.0,8,0
F,African-American,25-45,Male,19,-1.0,9,1
M,African-American,25-45,Female,1,-1.0,3,1
F,African-American,25-45,Male,6,-1.0,6,0
F,African-American,25-45,Male,2,-1.0,9,0
F,Caucasian,25-45,Male,11,0.0,8,1
F,African-American,25-45,Male,0,-3.0,1,0
